% Atomic Number|              Abundance | Element Name  
             0 |                    0.0 |       dummy   
             1 |                    1.0 |       H       
             2 |    0.08203515443298177 |       He      
             3 |  9.120108393559116e-12 |       Li      
             4 |  2.398832919019485e-11 |       Be      
             5 |  5.011872336272714e-10 |       B       
             6 | 0.00028840315031266115 |       C       
             7 |  6.760829753919819e-05 |       N       
             8 |  0.0004897788193684457 |       O       
             9 |  2.511886431509582e-08 |       F       
            10 |  0.0001148153621496884 |       Ne      
            11 | 1.6595869074375596e-06 |       Na      
            12 | 3.5481338923357534e-05 |       Mg      
            13 | 2.6915348039269138e-06 |       Al      
            14 |  3.235936569296281e-05 |       Si      
            15 |  2.570395782768865e-07 |       P       
            16 | 1.3182567385564074e-05 |       S       
            17 | 2.0417379446695275e-07 |       Cl      
            18 | 2.3988329190194897e-06 |       Ar      
            19 | 1.1748975549395303e-07 |       K       
            20 | 1.9952623149688787e-06 |       Ca      
            21 | 1.3803842646028867e-09 |       Sc      
            22 |  9.332543007969905e-08 |       Ti      
            23 |  7.943282347242822e-09 |       V       
            24 |  4.168693834703355e-07 |       Cr      
            25 | 2.6302679918953816e-07 |       Mn      
            26 | 2.8840315031266056e-05 |       Fe      
            27 |  8.709635899560814e-08 |       Co      
            28 |  1.584893192461114e-06 |       Ni      
            29 | 1.5135612484362072e-08 |       Cu      
            30 |   3.63078054770101e-08 |       Zn      
            31 | 1.0471285480508984e-09 |       Ga      
            32 |  4.168693834703363e-09 |       Ge      
            33 | 1.9952623149688828e-10 |       As      
            34 | 2.1877616239495518e-09 |       Se      
            35 |   3.46736850452531e-10 |       Br      
            36 |   1.31825673855641e-09 |       Kr      
            37 |  2.089296130854041e-10 |       Rb      
            38 |  6.760829753919819e-10 |       Sr      
            39 |  1.621810097358933e-10 |       Y       
            40 | 3.8904514499428046e-10 |       Zr      
            41 | 2.9512092266663903e-11 |       Nb      
            42 |   7.58577575029182e-11 |       Mo      
            43 |                    0.0 |       Tc      
            44 | 5.6234132519034906e-11 |       Ru      
            45 | 6.0255958607435685e-12 |       Rh      
            46 | 3.7153522909717275e-11 |       Pd      
            47 |  9.120108393559116e-12 |       Ag      
            48 | 5.1286138399136583e-11 |       Cd      
            49 |  6.309573444801943e-12 |       In      
            50 | 1.0471285480508985e-10 |       Sn      
            51 | 1.0232929922807536e-11 |       Sb      
            52 | 1.5135612484362072e-10 |       Te      
            53 |  3.548133892335761e-11 |       I       
            54 | 1.6595869074375631e-10 |       Xe      
            55 |  1.202264434617413e-11 |       Cs      
            56 | 1.8620871366628656e-10 |       Ba      
            57 | 1.2882495516931322e-11 |       La      
            58 |  3.801893963205613e-11 |       Ce      
            59 | 5.6234132519034904e-12 |       Pr      
            60 | 2.6302679918953815e-11 |       Nd      
            61 |                    0.0 |       Pm      
            62 |  8.912509381337441e-12 |       Sm      
            63 | 3.3113112148259077e-12 |       Eu      
            64 |  1.202264434617413e-11 |       Gd      
            65 | 2.0417379446695316e-12 |       Tb      
            66 | 1.2589254117941662e-11 |       Dy      
            67 | 3.0199517204020193e-12 |       Ho      
            68 |   8.51138038202376e-12 |       Er      
            69 | 1.2882495516931323e-12 |       Tm      
            70 |  7.079457843841373e-12 |       Yb      
            71 |  1.258925411794166e-12 |       Lu      
            72 |  7.079457843841373e-12 |       Hf      
            73 |  7.079457843841374e-13 |       Ta      
            74 |   6.16595001861481e-12 |       W       
            75 | 1.8197008586099825e-12 |       Re      
            76 | 2.2387211385683377e-11 |       Os      
            77 |  2.089296130854041e-11 |       Ir      
            78 |  4.073802778041122e-11 |       Pt      
            79 |  8.128305161640995e-12 |       Au      
            80 | 1.4791083881682073e-11 |       Hg      
            81 |  8.317637711026709e-12 |       Tl      
            82 |  8.912509381337441e-11 |       Pb      
            83 |  4.466835921509635e-12 |       Bi      
            84 |                    0.0 |       Po      
            85 |                    0.0 |       At      
            86 |                    0.0 |       Rn      
            87 |                    0.0 |       Fr      
            88 |                    0.0 |       Ra      
            89 |                    0.0 |       Ac      
            90 |  1.071519305237605e-12 |       Th      
            91 |                    0.0 |       Pa      
            92 | 2.8840315031266116e-13 |       U       
% solar abundances from Asplund 2020
