% Atomic Number| Solar Abund. (N_X/N_H) |      2*Solar (N_X/N_H) |      3*Solar (N_X/N_H) |      4*Solar (N_X/N_H) | Element Name
             0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 |        dummy 
             1 |                    1.0 |                    1.0 |                    1.0 |                    1.0 |            H 
             2 |    0.08203515443298177 |    0.16407030886596355 |    0.24610546329894534 |     0.3281406177319271 |           He 
             3 |  9.120108393559116e-12 |  1.824021678711823e-11 |  2.736032518067735e-11 |  3.648043357423646e-11 |           Li 
             4 |  2.398832919019485e-11 |   4.79766583803897e-11 |  7.196498757058455e-11 |   9.59533167607794e-11 |           Be 
             5 |  5.011872336272714e-10 | 1.0023744672545429e-09 | 1.5035617008818143e-09 | 2.0047489345090857e-09 |            B 
             6 | 0.00028840315031266115 |  0.0005768063006253223 |  0.0008652094509379834 |  0.0011536126012506446 |            C 
             7 |  6.760829753919819e-05 | 0.00013521659507839638 | 0.00020282489261759458 | 0.00027043319015679275 |            N 
             8 |  0.0004897788193684457 |  0.0009795576387368913 |   0.001469336458105337 |  0.0019591152774737827 |            O 
             9 |  2.511886431509582e-08 |  5.023772863019164e-08 |  7.535659294528747e-08 | 1.0047545726038328e-07 |            F 
            10 |  0.0001148153621496884 |  0.0002296307242993768 | 0.00034444608644906523 |  0.0004592614485987536 |           Ne 
            11 | 1.6595869074375596e-06 | 3.3191738148751193e-06 |  4.978760722312679e-06 |  6.638347629750239e-06 |           Na 
            12 | 3.5481338923357534e-05 |  7.096267784671507e-05 | 0.00010644401677007261 | 0.00014192535569343013 |           Mg 
            13 | 2.6915348039269138e-06 | 5.3830696078538276e-06 |   8.07460441178074e-06 | 1.0766139215707655e-05 |           Al 
            14 |  3.235936569296281e-05 |  6.471873138592562e-05 |  9.707809707888842e-05 | 0.00012943746277185124 |           Si 
            15 |  2.570395782768865e-07 |   5.14079156553773e-07 |  7.711187348306595e-07 |  1.028158313107546e-06 |            P 
            16 | 1.3182567385564074e-05 |  2.636513477112815e-05 | 3.9547702156692225e-05 |   5.27302695422563e-05 |            S 
            17 | 2.0417379446695275e-07 |  4.083475889339055e-07 |  6.125213834008583e-07 |   8.16695177867811e-07 |           Cl 
            18 | 2.3988329190194897e-06 |  4.797665838038979e-06 |  7.196498757058469e-06 |  9.595331676077959e-06 |           Ar 
            19 | 1.1748975549395303e-07 | 2.3497951098790607e-07 |  3.524692664818591e-07 | 4.6995902197581213e-07 |            K 
            20 | 1.9952623149688787e-06 |  3.990524629937757e-06 | 5.9857869449066365e-06 |  7.981049259875515e-06 |           Ca 
            21 | 1.3803842646028867e-09 | 2.7607685292057735e-09 |   4.14115279380866e-09 |  5.521537058411547e-09 |           Sc 
            22 |  9.332543007969905e-08 |  1.866508601593981e-07 |  2.799762902390971e-07 |  3.733017203187962e-07 |           Ti 
            23 |  7.943282347242822e-09 | 1.5886564694485644e-08 | 2.3829847041728466e-08 |  3.177312938897129e-08 |            V 
            24 |  4.168693834703355e-07 |   8.33738766940671e-07 | 1.2506081504110065e-06 |  1.667477533881342e-06 |           Cr 
            25 | 2.6302679918953816e-07 |  5.260535983790763e-07 |  7.890803975686144e-07 | 1.0521071967581526e-06 |           Mn 
            26 | 2.8840315031266056e-05 |  5.768063006253211e-05 |  8.652094509379818e-05 | 0.00011536126012506423 |           Fe 
            27 |  8.709635899560814e-08 | 1.7419271799121628e-07 |  2.612890769868244e-07 | 3.4838543598243256e-07 |           Co 
            28 |  1.584893192461114e-06 |  3.169786384922228e-06 |  4.754679577383342e-06 |  6.339572769844456e-06 |           Ni 
            29 | 1.5135612484362072e-08 | 3.0271224968724145e-08 |  4.540683745308622e-08 |  6.054244993744829e-08 |           Cu 
            30 |   3.63078054770101e-08 |   7.26156109540202e-08 | 1.0892341643103031e-07 |  1.452312219080404e-07 |           Zn 
            31 | 1.0471285480508984e-09 |  2.094257096101797e-09 | 3.1413856441526953e-09 |  4.188514192203594e-09 |           Ga 
            32 |  4.168693834703363e-09 |  8.337387669406727e-09 |  1.250608150411009e-08 | 1.6674775338813453e-08 |           Ge 
            33 | 1.9952623149688828e-10 | 3.9905246299377657e-10 |  5.985786944906649e-10 |  7.981049259875531e-10 |           As 
            34 | 2.1877616239495518e-09 | 4.3755232478991035e-09 |  6.563284871848655e-09 |  8.751046495798207e-09 |           Se 
            35 |   3.46736850452531e-10 |   6.93473700905062e-10 |  1.040210551357593e-09 |  1.386947401810124e-09 |           Br 
            36 |   1.31825673855641e-09 |   2.63651347711282e-09 |   3.95477021566923e-09 |   5.27302695422564e-09 |           Kr 
            37 |  2.089296130854041e-10 |  4.178592261708082e-10 |  6.267888392562123e-10 |  8.357184523416164e-10 |           Rb 
            38 |  6.760829753919819e-10 | 1.3521659507839638e-09 | 2.0282489261759456e-09 | 2.7043319015679276e-09 |           Sr 
            39 |  1.621810097358933e-10 |  3.243620194717866e-10 |  4.865430292076799e-10 |  6.487240389435732e-10 |            Y 
            40 | 3.8904514499428046e-10 |  7.780902899885609e-10 | 1.1671354349828414e-09 | 1.5561805799771218e-09 |           Zr 
            41 | 2.9512092266663903e-11 |  5.902418453332781e-11 |  8.853627679999171e-11 | 1.1804836906665561e-10 |           Nb 
            42 |   7.58577575029182e-11 |  1.517155150058364e-10 |  2.275732725087546e-10 |  3.034310300116728e-10 |           Mo 
            43 |                    0.0 |                    0.0 |                    0.0 |                    0.0 |           Tc 
